<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBCB,D,20200318,000000,1208.8000000,1289.0000000,1208.8000000,1286.0000000,7739
SBCB,D,20200319,000000,1311.6000000,1338.2000000,1263.0000000,1263.0000000,6019
SBCB,D,20200320,000000,1237.8000000,1286.6000000,1220.0000000,1255.0000000,3400
SBCB,D,20200323,000000,1275.0000000,1275.4000000,1237.6000000,1257.2000000,2866
SBCB,D,20200324,000000,1240.2000000,1327.0000000,1220.2000000,1236.0000000,13047
SBCB,D,20200325,000000,1234.0000000,1252.2000000,1198.4000000,1238.8000000,3692
SBCB,D,20200326,000000,1239.8000000,1242.0000000,1218.2000000,1224.0000000,17486
SBCB,D,20200327,000000,1229.2000000,1265.6000000,1223.6000000,1263.8000000,2620
SBCB,D,20200330,000000,1263.6000000,1283.0000000,1241.0000000,1283.0000000,5922
SBCB,D,20200331,000000,1255.2000000,1272.6000000,1238.0000000,1248.0000000,4021
SBCB,D,20200401,000000,1259.6000000,1269.8000000,1243.2000000,1266.8000000,1739
SBCB,D,20200402,000000,1248.2000000,1274.0000000,1240.0000000,1267.0000000,3750
SBCB,D,20200403,000000,1244.4000000,1252.2000000,1226.8000000,1240.0000000,3229
SBCB,D,20200406,000000,1230.2000000,1241.0000000,1225.6000000,1237.0000000,1987
SBCB,D,20200407,000000,1242.0000000,1242.0000000,1222.2000000,1232.0000000,17062
SBCB,D,20200408,000000,1234.0000000,1240.0000000,1230.0000000,1232.2000000,1096
SBCB,D,20200409,000000,1226.6000000,1226.6000000,1190.0000000,1206.0000000,12415
SBCB,D,20200410,000000,1210.0000000,1228.8000000,1199.0000000,1214.2000000,3268
SBCB,D,20200413,000000,1207.0000000,1220.0000000,1206.4000000,1213.8000000,2197
SBCB,D,20200414,000000,1206.4000000,1212.4000000,1200.0000000,1205.0000000,11995
SBCB,D,20200415,000000,1212.0000000,1243.2000000,1210.0000000,1236.6000000,3571
SBCB,D,20200416,000000,1228.6000000,1236.2000000,1218.8000000,1230.4000000,934
SBCB,D,20200417,000000,1220.4000000,1233.0000000,1213.4000000,1228.4000000,1548
SBCB,D,20200420,000000,1232.8000000,1239.4000000,1225.6000000,1235.0000000,877
SBCB,D,20200421,000000,1242.6000000,1275.2000000,1242.6000000,1272.0000000,3353
SBCB,D,20200422,000000,1281.0000000,1287.8000000,1248.2000000,1255.0000000,2533
SBCB,D,20200423,000000,1248.2000000,1249.8000000,1230.8000000,1232.8000000,6644
SBCB,D,20200424,000000,1239.6000000,1250.6000000,1225.0000000,1233.2000000,1644
SBCB,D,20200427,000000,1226.6000000,1237.2000000,1224.0000000,1235.8000000,1158
SBCB,D,20200428,000000,1234.4000000,1239.4000000,1224.2000000,1230.4000000,1269
SBCB,D,20200429,000000,1238.0000000,1238.0000000,1214.8000000,1215.4000000,5934
SBCB,D,20200430,000000,1215.0000000,1229.8000000,1204.8000000,1223.4000000,3599
SBCB,D,20200504,000000,1230.0000000,1255.0000000,1230.0000000,1245.2000000,2501
