<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBGB,D,20190913,000000,1107.0000000,1113.0000000,1107.0000000,1107.8000000,1758
SBGB,D,20190916,000000,1106.4000000,1114.8000000,1106.4000000,1108.6000000,2569
SBGB,D,20190917,000000,1106.2000000,1114.0000000,1106.0000000,1111.6000000,96184
SBGB,D,20190918,000000,1114.8000000,1114.8000000,1107.4000000,1111.6000000,1666
SBGB,D,20190919,000000,1112.4000000,1113.6000000,1108.8000000,1113.2000000,1201
SBGB,D,20190920,000000,1113.8000000,1114.2000000,1109.2000000,1114.0000000,89619
SBGB,D,20190923,000000,1110.0000000,1116.4000000,1109.6000000,1113.0000000,3453
SBGB,D,20190924,000000,1107.0000000,1115.4000000,1107.0000000,1110.2000000,37462
SBGB,D,20190925,000000,1113.0000000,1114.4000000,1110.4000000,1114.4000000,30191
SBGB,D,20190926,000000,1114.8000000,1116.2000000,1106.2000000,1112.0000000,17284
SBGB,D,20190927,000000,1134.4000000,1144.8000000,1111.0000000,1112.0000000,2546
SBGB,D,20190930,000000,1114.8000000,1116.0000000,1111.2000000,1115.4000000,31296
SBGB,D,20191001,000000,1115.2000000,1120.0000000,1110.6000000,1110.6000000,1772
SBGB,D,20191002,000000,1110.2000000,1115.6000000,1110.2000000,1115.6000000,3123
SBGB,D,20191003,000000,1115.4000000,1116.0000000,1110.6000000,1115.0000000,78863
SBGB,D,20191004,000000,1120.0000000,1125.0000000,1111.2000000,1117.0000000,22927
SBGB,D,20191007,000000,1115.0000000,1121.8000000,1114.2000000,1121.6000000,1637
SBGB,D,20191008,000000,1122.6000000,1126.2000000,1121.0000000,1125.0000000,1791
SBGB,D,20191009,000000,1120.0000000,1126.2000000,1120.0000000,1126.0000000,34353
SBGB,D,20191010,000000,1121.2000000,1131.6000000,1121.2000000,1131.6000000,1693
SBGB,D,20191011,000000,1125.0000000,1135.0000000,1125.0000000,1134.0000000,9919
SBGB,D,20191014,000000,1125.2000000,1136.2000000,1115.0000000,1136.0000000,69925
SBGB,D,20191015,000000,1136.2000000,1149.6000000,1130.0000000,1133.2000000,2981
SBGB,D,20191016,000000,1137.6000000,1137.6000000,1132.4000000,1136.8000000,31319
SBGB,D,20191017,000000,1135.0000000,1146.0000000,1135.0000000,1137.8000000,58048
SBGB,D,20191018,000000,1144.8000000,1144.8000000,1137.6000000,1142.0000000,3823
SBGB,D,20191021,000000,1148.8000000,1148.8000000,1136.2000000,1146.6000000,33889
SBGB,D,20191022,000000,1150.0000000,1154.4000000,1147.0000000,1148.4000000,1201
SBGB,D,20191023,000000,1153.4000000,1153.4000000,1146.2000000,1150.6000000,7229
SBGB,D,20191024,000000,1149.0000000,1150.2000000,1145.6000000,1148.2000000,1886
SBGB,D,20191025,000000,1144.6000000,1154.6000000,1144.6000000,1150.0000000,96117
SBGB,D,20191028,000000,1157.0000000,1157.0000000,1145.4000000,1156.4000000,66645
SBGB,D,20191029,000000,1155.8000000,1156.6000000,1152.0000000,1155.4000000,2664
SBGB,D,20191030,000000,1155.4000000,1157.0000000,1151.4000000,1155.0000000,4214
SBGB,D,20191031,000000,1155.6000000,1155.6000000,1149.6000000,1153.2000000,3278
SBGB,D,20191101,000000,1155.4000000,1155.6000000,1154.0000000,1155.0000000,1112
SBGB,D,20191105,000000,1152.2000000,1159.4000000,1152.0000000,1159.4000000,1729
SBGB,D,20191106,000000,1159.6000000,1160.0000000,1154.0000000,1156.0000000,23426
SBGB,D,20191107,000000,1154.0000000,1158.0000000,1154.0000000,1157.0000000,3042
SBGB,D,20191108,000000,1160.0000000,1160.0000000,1155.8000000,1156.2000000,91665
SBGB,D,20191111,000000,1159.0000000,1159.8000000,1151.4000000,1153.4000000,104710
SBGB,D,20191112,000000,1153.0000000,1154.6000000,1151.0000000,1151.0000000,1039
SBGB,D,20191113,000000,1150.2000000,1153.0000000,1147.2000000,1149.0000000,51472
SBGB,D,20191114,000000,1150.2000000,1151.2000000,1147.0000000,1151.2000000,6303
SBGB,D,20191115,000000,1147.2000000,1153.4000000,1147.2000000,1151.6000000,1008
SBGB,D,20191118,000000,1148.0000000,1154.4000000,1147.0000000,1154.2000000,7270
